Epoch,train loss,train accuracy,validation loss,validation accuracy
1,0.5637001148832124,79.46833333333333,0.3770810614345939,85.97
2,0.4202095084766081,84.64833333333333,0.3379622068090044,87.74
3,0.38087439948498314,86.05333333333333,0.31996816828562197,88.36
4,0.35850932713605954,86.97166666666666,0.3223352128058482,88.15
5,0.34046861248960625,87.47333333333333,0.28360873380094576,89.92
6,0.32467807010451616,88.09,0.28751805524347696,89.65
7,0.3126357041601179,88.61833333333334,0.27557496009928406,90.3
8,0.3036176684473369,88.91166666666666,0.26230834419750104,90.22
9,0.29369046256295656,89.29,0.2581950502980287,90.55
10,0.28714468496948925,89.50166666666667,0.2510999327727184,90.87
