Epoch,train loss,train accuracy,validation loss,validation accuracy
1,0.5538373902630704,79.67166666666667,0.3756694417850227,86.63
2,0.4139299832824578,84.74833333333333,0.32707129732059065,88.09
3,0.37725303337962895,86.145,0.31489589525635836,88.54
4,0.3530833520996037,87.08333333333333,0.3074328694373939,88.74
5,0.3345758185060675,87.77333333333333,0.2705474283285202,89.86
6,0.31785755664872717,88.38,0.2800763710668892,89.55
7,0.3068832616879742,88.70333333333333,0.27232940466540634,90.11
8,0.2989791483084149,89.00666666666666,0.2613834968418073,90.35
9,0.2930022257048565,89.36833333333334,0.251548038404079,90.77
10,0.2820040644891163,89.60166666666667,0.2546334177445454,90.7
